pct,month,drug,pregab_mg
08H,2016-01-01,gabapentin,8773766.666666666
04Y,2016-01-01,gabapentin,5275450.0
06Y,2016-01-01,gabapentin,13029650.0
08E,2016-01-01,gabapentin,4212716.666666667
10J,2016-01-01,gabapentin,6395733.333333333
09E,2016-01-01,gabapentin,9000116.666666666
04H,2016-01-01,gabapentin,6517750.0
05C,2016-01-01,gabapentin,12760583.333333334
13T,2016-01-01,gabapentin,36378500.0
02Q,2016-01-01,gabapentin,6990633.333333333
00T,2016-01-01,gabapentin,16141483.333333334
08T,2016-01-01,gabapentin,2898233.3333333335
07G,2016-01-01,gabapentin,5384850.0
05D,2016-01-01,gabapentin,5101750.0
03N,2016-01-01,gabapentin,27168416.666666668
01G,2016-01-01,gabapentin,21614983.333333332
07M,2016-01-01,pregabalin,9649905.0
08V,2016-01-01,pregabalin,12000935.0
03A,2016-01-01,pregabalin,13075070.0
03J,2016-01-01,pregabalin,9648320.0
07X,2016-01-01,pregabalin,6078895.0
09G,2016-01-01,pregabalin,20105205.0
08Y,2016-01-01,pregabalin,9041100.0
05H,2016-01-01,pregabalin,7308560.0
10X,2016-01-01,pregabalin,12303860.0
99J,2016-01-01,pregabalin,21417750.0
08X,2016-01-01,pregabalin,8168335.0
05Q,2016-01-01,pregabalin,13294455.0
10A,2016-01-01,pregabalin,12817590.0
06L,2016-01-01,pregabalin,19731845.0
04M,2016-01-01,pregabalin,4514905.0
05D,2016-01-01,pregabalin,5550760.0
09H,2016-01-01,pregabalin,5382245.0
