pct,month,total_list_size,list_size_over_55
5EF,2012-03-01 00:00:00+00:00,129,42
5AT,2012-03-01 00:00:00+00:00,1930,307
5P8,2012-03-01 00:00:00+00:00,1649,360
04C,2012-03-01 00:00:00+00:00,373376,75419
5PE,2012-03-01 00:00:00+00:00,1133,576
RX4,2012-03-01 00:00:00+00:00,0,0
107,2012-03-01 00:00:00+00:00,0,0
03T,2012-03-01 00:00:00+00:00,241083,91722
5N7,2012-03-01 00:00:00+00:00,4237,398
09X,2012-03-01 00:00:00+00:00,224034,68469
09W,2012-03-01 00:00:00+00:00,276553,73165
04V,2012-03-01 00:00:00+00:00,368905,108296
725,2012-03-01 00:00:00+00:00,0,0
03M,2012-03-01 00:00:00+00:00,118049,42199
03H,2012-03-01 00:00:00+00:00,167731,50508
5PV,2012-03-01 00:00:00+00:00,0,0
10V,2012-03-01 00:00:00+00:00,204631,68636
5NK,2012-03-01 00:00:00+00:00,1615,458
322,2012-03-01 00:00:00+00:00,0,0
205,2012-03-01 00:00:00+00:00,0,0
NR5,2012-03-01 00:00:00+00:00,0,0
5D9,2012-03-01 00:00:00+00:00,0,0
11C,2012-03-01 00:00:00+00:00,150554,40373
08J,2012-03-01 00:00:00+00:00,189012,41839
5C5,2012-03-01 00:00:00+00:00,0,0
AC6,2012-03-01 00:00:00+00:00,0,0
07M,2012-03-01 00:00:00+00:00,376374,87376
5JX,2012-03-01 00:00:00+00:00,10,4
5NY,2012-03-01 00:00:00+00:00,56,5
319,2012-03-01 00:00:00+00:00,0,0
5PX,2012-03-01 00:00:00+00:00,0,0
13N,2012-03-01 00:00:00+00:00,0,0
09G,2012-03-01 00:00:00+00:00,485163,178183
01W,2012-03-01 00:00:00+00:00,296992,88006
5PH,2012-03-01 00:00:00+00:00,4867,1319
12A,2012-03-01 00:00:00+00:00,256064,72823
07T,2012-03-01 00:00:00+00:00,286510,39796
08Q,2012-03-01 00:00:00+00:00,326370,46822
NWE,2012-03-01 00:00:00+00:00,0,0
05Y,2012-03-01 00:00:00+00:00,265073,73347
00V,2012-03-01 00:00:00+00:00,195947,53972
08K,2012-03-01 00:00:00+00:00,382003,55225
10D,2012-03-01 00:00:00+00:00,106381,30241
00C,2012-03-01 00:00:00+00:00,105927,31613
NQL,2012-03-01 00:00:00+00:00,0,0
5C2,2012-03-01 00:00:00+00:00,1,0
10Y,2012-03-01 00:00:00+00:00,198020,55651
5N6,2012-03-01 00:00:00+00:00,1296,148
5FL,2012-03-01 00:00:00+00:00,0,0
305,2012-03-01 00:00:00+00:00,0,0
05T,2012-03-01 00:00:00+00:00,289044,95250
01X,2012-03-01 00:00:00+00:00,192981,59374
06N,2012-03-01 00:00:00+00:00,599723,158231
01T,2012-03-01 00:00:00+00:00,155591,46708
212,2012-03-01 00:00:00+00:00,0,0
RTF,2012-03-01 00:00:00+00:00,0,0
5ZX,2012-03-01 00:00:00+00:00,0,0
07G,2012-03-01 00:00:00+00:00,161318,38697
08A,2012-03-01 00:00:00+00:00,276155,50539
02R,2012-03-01 00:00:00+00:00,330276,83745
RCD,2012-03-01 00:00:00+00:00,0,0
5ND,2012-03-01 00:00:00+00:00,3510,1191
99Q,2012-03-01 00:00:00+00:00,283149,105893
5D7,2012-03-01 00:00:00+00:00,574,74
07N,2012-03-01 00:00:00+00:00,228508,62282
07V,2012-03-01 00:00:00+00:00,383233,85173
5K8,2012-03-01 00:00:00+00:00,36,8
08H,2012-03-01 00:00:00+00:00,220499,35895
04R,2012-03-01 00:00:00+00:00,524920,148698
5QG,2012-03-01 00:00:00+00:00,0,0
13P,2012-03-01 00:00:00+00:00,723308,172629
01K,2012-03-01 00:00:00+00:00,161049,47014
12H,2012-03-01 00:00:00+00:00,0,0
325,2012-03-01 00:00:00+00:00,0,0
99N,2012-03-01 00:00:00+00:00,459925,148260
06P,2012-03-01 00:00:00+00:00,212975,43250
5KG,2012-03-01 00:00:00+00:00,0,0
5NV,2012-03-01 00:00:00+00:00,0,0
5M7,2012-03-01 00:00:00+00:00,0,0
5P7,2012-03-01 00:00:00+00:00,0,0
5N9,2012-03-01 00:00:00+00:00,0,0
5N1,2012-03-01 00:00:00+00:00,0,0
11X,2012-03-01 00:00:00+00:00,543508,188535
5NW,2012-03-01 00:00:00+00:00,0,0
5QK,2012-03-01 00:00:00+00:00,11684,3837
5FE,2012-03-01 00:00:00+00:00,2649,501
11N,2012-03-01 00:00:00+00:00,555803,197732
02H,2012-03-01 00:00:00+00:00,320365,92666
00X,2012-03-01 00:00:00+00:00,173430,52653
09F,2012-03-01 00:00:00+00:00,185411,69256
11T,2012-03-01 00:00:00+00:00,211163,71245
5QA,2012-03-01 00:00:00+00:00,4345,1456
03N,2012-03-01 00:00:00+00:00,571215,147736
NQT,2012-03-01 00:00:00+00:00,0,0
5LC,2012-03-01 00:00:00+00:00,0,0
00M,2012-03-01 00:00:00+00:00,289216,82889
04E,2012-03-01 00:00:00+00:00,183766,54480
06Y,2012-03-01 00:00:00+00:00,223008,76944
05R,2012-03-01 00:00:00+00:00,271512,86927
116,2012-03-01 00:00:00+00:00,0,0
03J,2012-03-01 00:00:00+00:00,185061,46869
