bnf_code,squ
091102000BBGQBG,unit
0407010H0CSABDG,g
0906012B0BEABAC,unit
0602010V0AAFQFQ,ml
0803020L0AAAHAH,ml
0906040G0CKAIBQ,unit
0905021S0AAABAB,unit
0502050C0BBAAAA,unit
1302020D0BIAAAH,g
0101010Q0BBAAAA,ml
0601011N0BHADAP,unit
0803043N0AAABAB,unit
0904010U0BRABAA,g
0601023A0AAACAC,unit
190700000BBBLBA,g
010102100BBAMA0,unit
090401000BBSCA0,ml
0801030D0BEAAAN,unit
0407020C0AAAFAF,unit
0407010X0CFAJBJ,ml
1311050P0AAABAB,ml
0906040G0DIAADN,ml
0801040D0BBABAB,unit
0211000P0AAAZAZ,ml
0301011R0BLAAAI,unit
0206010F0BIADAN,unit
0601011N0BFAQAP,unit
0501020R0BCAAAA,unit
0307000L0BBAAAA,unit
1001010C0BQADAL,unit
0801020K0BEAAAH,unit
0101010L0BGACA0,unit
0407020C0AAABAB,ml
0104020N0BEABAF,unit
090607000BBKSA0,ml
0205051F0BIABEA,ml
0902021S0AAAAAA,unit
0411000F0AAAAAA,unit
1203040C0BDAAAC,ml
040702040BIABAE,unit
0803043N0AAAKAK,unit
0904010ADBDBVAC,g
0605010S0BBACAF,unit
0401020B0AAABAB,unit
090401070BHAAAI,g
0802020T0BCADAT,unit
0604020K0BKAABK,unit
0407020M0AABTBT,unit
0601060D0BQAAA0,unit
0103050E0AAACAC,unit
0202030S0AADQDQ,ml
0301020Q0BBACAC,unit
1203010S0BBAAAA,ml
1001010J0CRAABH,ml
1306010I0AAAEAE,g
1304000F0AACACA,g
0401010B0AABEBE,ml
0205051F0AABKBK,unit
0502050B0AAAXAX,ml
0906040C0AAABAB,unit
0411000F0AAACAC,unit
0302000N0AABMBM,unit
0801050X0BBAAAA,unit
091200000BFAPA0,unit
0202030S0AADTDT,ml
0906011H0DFABAF,unit
0407020P0AAARAR,ml
0904010ADBEAAAC,g
0211000P0AAAWAW,ml
0103010T0BLAAAP,unit
0603020J0AABUBU,ml
0501040H0AAAYAY,ml
0904010Z0BGAAAA,g
0906040G0CIAQBM,ml
0501020R0AAADAD,ml
090402000BBPUA0,unit
0601011A0BBACAC,unit
0801030P0AABYBY,unit
0601012V0BBACAC,unit
0906040G0CSAACX,unit
090602700BBDIA0,unit
0602020D0AAAXAX,ml
0407020A0BLADAH,unit
090900000BBKWA0,g
0503050A0BBAAAA,unit
0502010C0BBAAAA,unit
090401000BBLTA0,unit
0904010ABBFAAAA,g
0906022K0AAARAR,unit
0206010K0BXACAE,unit
0204000H0BKAAAM,unit
1002010Q0AABJBJ,ml
0801050AXBDAAAD,unit
1002010Q0AAAXAX,ml
0601022B0BJADAS,unit
0904010K0BEAAAF,unit
0403040X0AAAIAI,unit
0905013G0BGABAY,unit
1306010T0AAAVAV,g
0704060A0AAAAAA,unit
0206010F0AACHCH,unit
0402010X0BBAEAC,unit
1001050A0BEAAAC,unit
0202010V0AAAKAK,ml
0902021V0BBAAAC,unit
0206010F0BSADBJ,unit
100302010AAAAAA,g
0601021M0BFACAM,unit
0604011G0BNAEBL,unit
0501020A0BBAAAA,unit
0904010AABJAIAL,g
0906024N0AABQBQ,ml
190400000AAITIT,g
0206020C0AAAAAA,unit
0606020R0AAAEAE,ml
0206010K0CCACAE,unit
0101021B0BEAWA0,unit
1001010L0BMAAAJ,unit
0403040W0CCAAAS,unit
090607000BBARA0,unit
0302000K0BBAJAJ,unit
0205052P0BBACAC,unit
0901020G0AACYCY,unit
0604011G0BSAABS,unit
0902012L0BDAADC,ml
0902012L0AADFDF,ml
190205500BCMKA0,ml
090402000BBXVA0,ml
0209000L0AAAPAP,ml
0501090N0AABIBI,ml
1305020I0AAAGAG,g
