month,pct,items_more_than_two,all_items,items_percent_more_than_two
2017-08-01,08L,189,6882,2.746294681778553
2018-05-01,09G,384,13993,2.7442292574858858
2018-11-01,07Q,191,6964,2.7426766226306722
2017-04-01,06A,224,8173,2.7407316774746118
2018-07-01,09A,80,2923,2.7369141293191923
2018-11-01,08Y,106,3874,2.7361899845121322
2017-08-01,07M,174,6362,2.734988997170701
2018-05-01,08Q,148,5412,2.7346637102734666
2018-05-01,10C,55,2013,2.73224043715847
2017-11-01,09G,409,14976,2.731036324786325
2019-04-01,09D,167,6115,2.7309893704006543
2018-09-01,06A,226,8284,2.7281506518590053
2017-10-01,06A,250,9166,2.7274710888064586
2019-07-01,08X,175,6418,2.726706138984107
2017-11-01,08X,191,7006,2.7262346560091353
2017-06-01,08J,103,3779,2.725588780100556
2018-03-01,10X,222,8149,2.7242606454779725
2018-01-01,10R,176,6461,2.7240365268534283
2019-01-01,08X,191,7017,2.7219609519737777
2018-03-01,08K,165,6067,2.7196307895170593
2017-10-01,10R,170,6260,2.7156549520766773
2017-04-01,09Y,179,6593,2.7150007583801
2017-01-01,10R,172,6336,2.714646464646465
2017-07-01,08Y,106,3905,2.714468629961588
2017-11-01,08Q,155,5713,2.7131104498512166
2017-05-01,00N,192,7087,2.7091858332157472
2018-10-01,06A,254,9385,2.7064464571124134
2018-12-01,10V,166,6135,2.7057864710676447
2019-01-01,07Q,197,7285,2.7041866849691143
2017-01-01,10C,61,2256,2.7039007092198584
2017-11-01,10V,171,6325,2.7035573122529644
2017-04-01,09G,347,12835,2.7035449941566028
2017-01-01,08X,197,7290,2.702331961591221
2017-03-01,07W,248,9189,2.698879094569594
2019-06-01,06A,226,8375,2.698507462686567
2018-01-01,08Q,160,5932,2.6972353337828725
2018-12-01,08X,173,6416,2.6963840399002494
2018-01-01,06A,261,9680,2.6962809917355375
2017-02-01,09G,355,13173,2.6949062476277232
2018-06-01,08L,191,7088,2.6946952595936797
2018-04-01,10R,150,5567,2.6944494341656187
2017-03-01,08V,194,7210,2.690707350901526
2019-03-01,07Q,187,6954,2.68909979867702
2019-05-01,10R,157,5846,2.685596989394458
2018-08-01,09G,355,13244,2.680459075807913
2017-11-01,07W,245,9144,2.679352580927384
2018-02-01,08Y,92,3434,2.6790914385556204
2018-02-01,08X,166,6204,2.6756931012250162
2019-02-01,08Y,92,3441,2.6736413833188024
2018-02-01,10R,147,5502,2.6717557251908395
2018-02-01,08L,184,6898,2.6674398376340966
2018-06-01,09G,365,13688,2.666569257744009
2018-06-01,08J,95,3565,2.664796633941094
2017-10-01,10X,225,8446,2.6639829505091166
2019-02-01,06A,223,8371,2.6639589057460276
2018-01-01,08L,200,7510,2.6631158455392807
2019-03-01,06A,228,8564,2.6623073330219524
2018-10-01,08X,182,6839,2.6612077789150463
2017-08-01,08V,156,5863,2.6607538802660753
2018-02-01,09G,352,13230,2.6606198034769464
2017-06-01,09X,121,4548,2.6605101143359717
2018-06-01,08Y,97,3646,2.6604498080087766
2019-07-01,09A,79,2970,2.65993265993266
2017-03-01,06A,242,9101,2.659048456213603
2017-10-01,08L,195,7334,2.6588491955276794
2018-09-01,10V,139,5231,2.6572357101892563
2018-03-01,09G,378,14231,2.6561731431382194
2018-09-01,09G,347,13064,2.6561543172075934
2017-08-01,10R,148,5577,2.653756499910346
2018-04-01,10X,204,7697,2.6503832662076134
2017-05-01,02T,206,7774,2.6498585027013117
2017-09-01,08V,175,6607,2.6487059179657937
2018-08-01,08Y,87,3285,2.6484018264840183
2018-07-01,07W,206,7787,2.6454346988570694
2017-03-01,08L,199,7524,2.6448697501329077
2019-06-01,09G,341,12905,2.642386671832623
2018-05-01,00N,190,7196,2.64035575319622
2017-04-01,08X,159,6026,2.638566213076668
2019-05-01,10C,55,2086,2.636625119846596
2019-01-01,10V,166,6301,2.634502459926996
2018-04-01,08K,154,5848,2.633378932968536
2018-01-01,08K,175,6660,2.6276276276276276
2018-04-01,10C,50,1903,2.627430373095113
2017-04-01,08L,176,6703,2.6256899895569146
2018-08-01,08K,145,5523,2.625384754662321
2018-10-01,10R,163,6216,2.6222651222651225
2018-07-01,08K,161,6140,2.6221498371335503
2017-01-01,08L,197,7514,2.6217726909768433
2018-03-01,07W,217,8289,2.6179273736276993
2018-04-01,08L,175,6689,2.616235610704141
2017-06-01,08V,162,6207,2.609956500724988
2019-04-01,06A,223,8545,2.609713282621416
2018-12-01,09D,185,7090,2.609308885754584
2018-06-01,07M,175,6709,2.608436428677895
2018-09-01,09A,72,2762,2.606806661839247
2018-06-01,08Q,141,5413,2.604840199519675
2018-10-01,09G,382,14667,2.604486261675871
2017-10-01,08Y,105,4032,2.604166666666667
2018-09-01,08Y,84,3226,2.603843769373838
2019-02-01,07W,204,7836,2.6033690658499236
2017-05-01,08J,101,3882,2.601751674394642
2017-01-01,10X,219,8419,2.601259056895118
2018-04-01,08Y,89,3427,2.5970236358330903
2017-07-01,07M,179,6897,2.595331303465275
2017-08-01,03A,158,6088,2.59526938239159
2018-09-01,08Q,135,5202,2.5951557093425603
2019-05-01,08Y,91,3507,2.5948103792415167
2018-02-01,09D,153,5897,2.594539596404952
2018-06-01,07W,210,8094,2.5945144551519648
2017-01-01,07T,156,6014,2.593947455936149
2018-03-01,10V,150,5784,2.5933609958506225
2018-07-01,10R,150,5785,2.592912705272256
2019-01-01,10C,58,2239,2.590442161679321
2017-11-01,10C,57,2201,2.58973194002726
2017-02-01,08X,161,6218,2.5892569958185914
