month,pct,list_size
2017-08-01,09C,132199
2017-08-01,09D,313676
2017-08-01,09E,222169
2017-08-01,09F,195303
2017-08-01,09G,512491
2017-08-01,09H,132292
2017-08-01,09J,266579
2017-08-01,09L,182101
2017-08-01,09N,224678
2017-08-01,09P,188335
2017-08-01,09W,298070
2017-08-01,09X,238986
2017-08-01,09Y,371014
2017-08-01,10A,204894
2017-08-01,10C,96617
2017-08-01,10D,111980
2017-08-01,10E,144633
2017-08-01,10G,141194
2017-08-01,10H,342314
2017-08-01,10J,225648
2017-08-01,10K,204727
2017-08-01,10L,144068
2017-08-01,10M,118945
2017-08-01,10N,110842
2017-08-01,10Q,732580
2017-08-01,10R,227264
2017-08-01,10T,158644
2017-08-01,10V,214320
2017-08-01,10W,144538
2017-08-01,10X,281872
2017-08-01,10Y,213871
2017-08-01,112,767
2017-08-01,11A,559859
2017-08-01,11C,155002
2017-08-01,11D,163677
2017-08-01,11E,203327
2017-08-01,11H,508109
2017-08-01,11J,796799
2017-08-01,11M,639928
2017-08-01,11N,571288
2017-08-01,11T,219265
2017-08-01,11X,571617
2017-08-01,12A,268579
2017-08-01,12D,234499
2017-08-01,12F,336171
2017-08-01,13P,722743
2017-08-01,13T,518846
2017-08-01,14L,629023
2017-08-01,99A,523585
2017-08-01,99C,218678
2017-08-01,99D,166165
2017-08-01,99E,277415
2017-08-01,99F,184868
2017-08-01,99G,187778
2017-08-01,99H,306770
2017-08-01,99J,489072
2017-08-01,99K,170338
2017-08-01,99M,226842
2017-08-01,99N,487103
2017-08-01,99P,922740
2017-08-01,99Q,291989
2017-09-01,00C,108132
2017-09-01,00D,291599
2017-09-01,00J,256088
2017-09-01,00K,296688
2017-09-01,00L,324716
2017-09-01,00M,295215
2017-09-01,00N,156742
2017-09-01,00P,284228
2017-09-01,00Q,174476
2017-09-01,00R,173350
2017-09-01,00T,308202
2017-09-01,00V,203490
2017-09-01,00X,182866
2017-09-01,00Y,253561
2017-09-01,01A,380913
2017-09-01,01C,208443
2017-09-01,01D,232274
2017-09-01,01E,214167
2017-09-01,01F,130860
2017-09-01,01G,269095
2017-09-01,01H,323910
2017-09-01,01J,164419
2017-09-01,01K,359675
2017-09-01,01R,184188
