month,pct,total_items,total_cost
2010-11-01,02P,1,31.62
2010-11-01,08Y,5,274.65
2010-11-01,08N,12,626.9099999999999
2010-11-01,09P,3,152.71
2010-11-01,07J,1,60.75
2010-11-01,04M,2,62.04
2010-11-01,08P,1,31.65
2010-11-01,01W,1,60.75
2010-11-01,02H,2,60.78
2010-11-01,09F,6,372.05
2010-11-01,08J,7,303.35999999999996
2010-11-01,08M,8,265.87
2010-11-01,04C,13,508.46999999999997
2010-11-01,07L,1,30.39
2010-11-01,02A,2,21.14
2010-11-01,01T,2,124.01
2010-11-01,08H,6,344.65999999999997
2010-11-01,03J,4,174.68
2010-11-01,08A,10,439.24999999999994
2010-11-01,01Y,1,56.7
2010-11-01,09N,2,62.04
2010-11-01,09L,3,158.19
2010-11-01,08V,11,803.52
2010-11-01,10A,2,63.3
2010-11-01,06N,13,678.9599999999999
2010-11-01,04R,6,184.42
2010-11-01,01H,3,121.53
2010-11-01,10L,1,63.27
2010-11-01,09H,2,92.4
2010-11-01,04F,2,52.76
2010-11-01,08C,3,150.36
2010-11-01,04Q,3,91.17
2010-11-01,07T,11,617.2499999999999
2010-11-01,09X,8,320.64
2010-11-01,11A,11,567.35
2010-11-01,08X,4,212.64
2010-11-01,07M,17,881.65
2010-11-01,10V,6,432.76
2010-11-01,99M,8,404.99
2010-11-01,06Y,7,202.05
2010-11-01,09J,7,267.95
2010-11-01,99N,6,248.0
2010-11-01,05R,4,151.48000000000002
2010-11-01,05V,2,91.14
2010-11-01,06T,1,30.39
2010-11-01,03R,11,914.94
2010-11-01,07Q,9,520.16
2010-11-01,09E,3,183.5
2010-11-01,09D,2,137.08
2010-11-01,08L,9,515.4899999999999
2010-11-01,99P,9,485.15999999999997
2010-11-01,00J,5,248.07
2010-11-01,04Y,2,60.78
2010-11-01,01R,3,130.54000000000002
2010-11-01,06M,2,91.14
2010-11-01,08G,4,110.25
2010-11-01,05L,2,62.04
2010-11-01,05Y,1,63.27
2010-11-01,01V,3,206.66000000000003
2010-11-01,06V,4,108.16999999999999
2010-11-01,10C,1,182.17
2010-11-01,04V,12,734.3499999999999
2010-11-01,10K,5,217.70999999999998
2010-11-01,04J,1,31.65
2010-11-01,15A,4,122.82
2010-11-01,03X,1,60.75
2010-11-01,99H,8,353.5
2010-11-01,05C,2,91.14
2010-11-01,03K,7,131.77
2010-11-01,13T,8,337.97
2010-11-01,15C,19,703.88
2010-11-01,03L,3,176.66
2010-11-01,09W,10,294.1
2010-11-01,06K,17,869.6800000000001
2010-11-01,02R,5,175.55
2010-11-01,03E,2,116.0
2010-11-01,01F,1,31.65
2010-11-01,04D,2,62.04
2010-11-01,07H,8,289.05999999999995
2010-11-01,14Y,4,187.32
2010-11-01,01E,1,60.75
2010-11-01,01K,1,31.65
2010-11-01,10R,2,174.12
2010-11-01,02N,1,31.65
2010-11-01,05X,1,94.89
2010-11-01,07X,9,376.78999999999996
2010-11-01,06P,4,172.95999999999998
2010-11-01,09G,11,683.15
2010-12-01,03H,12,640.1800000000001
2010-12-01,15E,18,984.1999999999999
2010-12-01,10E,4,213.98000000000002
2010-12-01,08Y,4,244.33
2010-12-01,07X,6,221.79000000000002
2010-12-01,03D,2,63.32
2010-12-01,07T,7,323.96
2010-12-01,03T,8,287.81
2010-12-01,08H,10,513.07
2010-12-01,00K,5,91.69
2010-12-01,05A,9,445.78000000000003
2010-12-01,10K,6,385.26
2010-12-01,99P,7,307.67
2010-12-01,08W,7,376.46999999999997
2010-12-01,02X,1,63.26
2010-12-01,09D,4,259.94
2010-12-01,11E,5,357.74
2010-12-01,04M,2,92.43
2010-12-01,02P,1,31.63
2010-12-01,03W,19,1015.79
2010-12-01,03A,1,31.66
2010-12-01,05Y,1,94.93
2010-12-01,01E,2,126.59
2010-12-01,05Q,4,121.60999999999999
2010-12-01,08M,6,176.91
2010-12-01,08G,8,245.74
2010-12-01,07G,2,121.54
2010-12-01,03N,2,63.33
2010-12-01,05V,1,91.14
2010-12-01,03R,15,842.38
2010-12-01,10D,3,187.37
2010-12-01,02M,1,126.56
2010-12-01,04H,1,60.74
2010-12-01,02Q,1,63.3
2010-12-01,08D,11,529.27
2010-12-01,07L,1,30.4
2010-12-01,06V,3,72.61
2010-12-01,02F,2,122.77
2010-12-01,10V,7,278.61
2010-12-01,08L,15,801.47
2010-12-01,03K,1,91.14
2010-12-01,04Q,3,91.21
2010-12-01,01J,2,62.06
2010-12-01,04L,4,153.24
2010-12-01,04N,4,102.98
2010-12-01,99J,10,367.63
2010-12-01,99M,5,276.01
2010-12-01,99Q,15,694.11
2010-12-01,00L,4,155.73
2010-12-01,09W,8,246.53999999999996
2010-12-01,08Q,9,675.13
2010-12-01,10R,2,124.07
2010-12-01,08V,11,918.2399999999999
2010-12-01,01F,3,93.73
2010-12-01,03Q,3,122.83000000000001
2010-12-01,07W,9,440.81
2010-12-01,06F,12,555.79
2010-12-01,14L,3,162.06
2010-12-01,06D,1,91.14
2010-12-01,02E,1,243.0
2010-12-01,05F,2,62.06
2010-12-01,04F,3,84.45
2010-12-01,15C,16,585.1199999999999
2010-12-01,04R,12,636.02
2010-12-01,01R,3,234.96
2010-12-01,01H,2,115.47
2010-12-01,04Y,3,91.21000000000001
2010-12-01,99N,5,155.72
2010-12-01,08A,6,611.39
2010-12-01,02G,1,121.52
2010-12-01,05N,7,400.03
2010-12-01,09F,1,60.77
2010-12-01,15F,7,580.1899999999999
2010-12-01,09J,6,187.44
2010-12-01,11X,14,643.9599999999999
2010-12-01,RY3,1,30.4
2010-12-01,07M,9,500.07
2010-12-01,06Q,9,519.03
2010-12-01,01T,1,63.3
2010-12-01,99K,1,30.4
2010-12-01,03L,2,113.44
2010-12-01,08J,9,386.65999999999997
2010-12-01,00X,1,30.4
2010-12-01,11M,23,947.3799999999999
2010-12-01,11A,12,619.5400000000001
2010-12-01,07Q,7,458.04
2010-12-01,10Q,6,273.46
2010-12-01,15A,6,175.59
2010-12-01,09P,2,101.28999999999999
2010-12-01,10A,4,246.11
2010-12-01,05R,6,278.51
2010-12-01,08C,3,243.06
2010-12-01,06L,2,60.769999999999996
2010-12-01,00J,7,483.53
2010-12-01,11J,8,359.15999999999997
2010-12-01,09C,2,92.43
2010-12-01,06H,25,1180.5299999999997
2010-12-01,04K,4,305.5
2010-12-01,13T,9,440.63000000000005
2010-12-01,99D,6,248.07000000000002
2010-12-01,06T,3,91.21000000000001
2010-12-01,02H,1,30.4
2010-12-01,05X,2,137.14000000000001
2010-12-01,07Y,8,423.48
2010-12-01,07R,22,1083.72
2010-12-01,01V,3,187.35999999999999
2010-12-01,01K,1,31.66
2010-12-01,08F,9,362.26
2010-12-01,06K,18,967.17
2010-12-01,02N,1,31.66
2010-12-01,02D,1,31.66
2010-12-01,04G,9,336.95000000000005
2010-12-01,05G,4,182.35000000000002
2010-12-01,12F,2,187.33
2010-12-01,99H,7,315.17999999999995
2010-12-01,06A,2,156.96
2010-12-01,08K,4,169.06
2010-12-01,07V,5,243.11
2010-12-01,05W,8,336.40999999999997
2010-12-01,14Y,7,348.59
2010-12-01,01C,2,155.70000000000002
2010-12-01,00R,1,30.4
2010-12-01,08P,2,92.43
