month,pct,glarg_items,glar_percent_items
2010-10-01,07J,435,1.0
2010-10-01,01J,397,1.0
2010-10-01,06K,773,1.0
2010-10-01,10V,253,1.0
2010-10-01,03F,439,1.0
2010-10-01,01C,432,1.0
2010-10-01,03D,315,1.0
2010-10-01,06F,653,1.0
2010-10-01,06L,437,1.0
2010-10-01,06N,630,1.0
2010-10-01,02F,345,1.0
2010-10-01,08R,339,1.0
2010-10-01,09E,299,1.0
2010-10-01,02T,533,1.0
2010-10-01,03T,794,1.0
2010-10-01,08D,385,1.0
2010-10-01,99Q,208,1.0
2010-10-01,01W,479,1.0
2010-10-01,00K,474,1.0
2010-10-01,00Y,690,1.0
2010-10-01,5EM,4,1.0
2010-10-01,01X,479,1.0
2010-10-01,01V,257,1.0
2010-10-01,01A,944,1.0
2010-10-01,NCN,1,1.0
2010-10-01,07R,298,1.0
2010-10-01,06V,434,1.0
2010-10-01,RY2,8,1.0
2010-10-01,R1F,2,1.0
2010-10-01,05A,1019,1.0
2010-10-01,RYF,1,1.0
2010-10-01,09Y,888,1.0
2010-10-01,5PH,2,1.0
2010-10-01,01E,340,1.0
2010-10-01,11A,714,1.0
2010-10-01,08A,280,1.0
2010-10-01,05D,340,1.0
2010-10-01,06P,316,1.0
2010-10-01,5NY,2,1.0
2010-10-01,99P,1254,1.0
2010-10-01,5MD,1,1.0
2010-10-01,5P1,1,1.0
2010-10-01,01R,299,1.0
2010-10-01,08N,458,1.0
2010-10-01,5PF,5,1.0
2010-10-01,03X,134,1.0
2010-10-01,04G,1137,1.0
2010-10-01,11E,427,1.0
2010-10-01,11J,1859,1.0
2010-10-01,08Q,352,1.0
2010-10-01,99J,660,1.0
2010-10-01,02W,172,1.0
2010-10-01,06Y,518,1.0
2010-10-01,5NV,1,1.0
2010-10-01,5PL,1,1.0
2010-10-01,09G,560,1.0
2010-10-01,07N,293,1.0
2010-10-01,08M,1091,1.0
2010-10-01,03K,379,1.0
2010-10-01,04M,79,1.0
2010-10-01,03Y,124,1.0
2010-10-01,15C,912,1.0
2010-10-01,02G,182,1.0
2010-10-01,5D7,1,1.0
2010-10-01,02Y,739,1.0
2010-10-01,06D,356,1.0
2010-10-01,00D,855,1.0
2010-10-01,5PD,1,1.0
2010-10-01,99A,945,1.0
2010-10-01,02P,399,1.0
2010-10-01,10J,392,1.0
2010-10-01,5NK,6,1.0
2010-10-01,5LA,4,1.0
2010-10-01,01H,1121,1.0
2010-10-01,5KM,3,1.0
2010-10-01,10X,311,1.0
2010-10-01,04E,349,1.0
2010-10-01,99G,318,1.0
2010-10-01,10R,190,1.0
2010-10-01,07X,284,1.0
2010-10-01,05L,1740,1.0
2010-10-01,08F,543,1.0
2010-10-01,07Q,358,1.0
2010-10-01,112,2,1.0
2010-10-01,10A,275,1.0
2010-10-01,04F,344,1.0
2010-10-01,07M,454,1.0
2010-10-01,RY6,1,1.0
2010-10-01,07W,554,1.0
2010-10-01,07Y,507,1.0
2010-10-01,05J,407,1.0
2010-10-01,RY7,3,1.0
2010-10-01,09J,254,1.0
2010-10-01,02M,331,1.0
2010-10-01,RCD,4,1.0
2010-10-01,00C,250,1.0
2010-10-01,05R,420,1.0
2010-10-01,99C,132,1.0
2010-10-01,07L,364,1.0
2010-10-01,NVE,5,1.0
2010-10-01,03N,266,1.0
2010-10-01,04N,104,1.0
2010-10-01,15E,2758,1.0
2010-10-01,NTP,2,1.0
2010-10-01,04Y,550,1.0
2010-10-01,NQV,1,1.0
2010-10-01,08J,274,1.0
2010-10-01,RY5,2,1.0
2010-10-01,15A,607,1.0
2010-10-01,06H,2090,1.0
2010-10-01,5M2,14,1.0
2010-10-01,03V,63,1.0
2010-10-01,08W,390,1.0
2010-10-01,09D,763,1.0
2010-10-01,02Q,287,1.0
2010-10-01,RNU,3,1.0
2010-10-01,15F,1380,1.0
2010-10-01,09X,486,1.0
2010-10-01,04C,796,1.0
2010-10-01,99H,387,1.0
2010-10-01,02R,557,1.0
2010-10-01,5M3,4,1.0
2010-10-01,05C,759,1.0
2010-10-01,10K,209,1.0
2010-10-01,07G,493,1.0
2010-10-01,07H,530,1.0
2010-10-01,06M,432,1.0
2010-10-01,03L,373,1.0
2010-10-01,5M1,4,1.0
2010-10-01,5NG,1,1.0
2010-10-01,5QJ,1,1.0
2010-10-01,09L,226,1.0
2010-10-01,11D,3,1.0
2010-10-01,99M,505,1.0
