month,pct,s5_items,s3_items,s5_percent_items,s3_percent_items
2015-11-01,09E,100567,63780,0.022433314275861038,0.014227299059476936
2015-11-01,02A,125046,70698,0.020188562849628094,0.011414127731738777
2015-11-01,05D,122434,41931,0.03564452826475365,0.012207480884961574
2015-11-01,11N,462877,206844,0.02789788877404655,0.012466618357747058
2015-11-01,05L,401515,124565,0.032979313830843224,0.010231419068625047
2015-11-01,06W,169413,71855,0.03479590910379271,0.014758371840726658
2015-11-01,10D,102921,27578,0.042405678976637134,0.0113627327252718
2015-11-01,06Q,211795,87570,0.022132330005219716,0.00915096266935995
2015-11-01,02R,331277,108315,0.03873262902789434,0.012664098965990321
2015-11-01,99G,112279,51699,0.031201568429111533,0.014366799545922543
2015-11-01,10V,114961,71110,0.023527454290602056,0.014553085608203757
2015-11-01,04K,194542,94340,0.028418425830555528,0.013781056496050253
2015-11-01,99E,113292,59978,0.021709799015919025,0.011493400464082117
2015-11-01,08C,80026,38513,0.025787096784588192,0.012410197416650151
2015-11-01,09N,89570,42005,0.023733627983264307,0.011130189164195795
2015-11-01,03T,178311,116758,0.019396139590506723,0.012700587548207257
2015-11-01,03D,136629,48156,0.030908685352121344,0.010894017022863047
2015-11-01,99J,326865,108533,0.027296616552372983,0.009063630808678497
2015-11-01,03F,265070,134416,0.03046245189927475,0.015447394780597255
2015-11-01,06H,536807,254430,0.024352852258869986,0.011542502613088671
2015-11-01,08K,153287,42601,0.024826463205211115,0.006899685942090319
2015-11-01,10J,94537,59409,0.019693226702396406,0.01237562970226121
2015-11-01,10E,83684,66149,0.0210527269122902,0.016641375083899963
2015-11-01,00T,178315,107415,0.023977366624511467,0.014443702638431423
2015-11-01,11J,579486,234009,0.029435079680831706,0.01188652281682689
2015-11-01,08N,120768,46006,0.024363506224225437,0.009281162786099922
2015-11-01,01Y,308094,97775,0.043948535419700285,0.013947263012785692
2015-11-01,01C,110007,55767,0.020423273252505637,0.010353383688969629
2015-11-01,99H,137407,52013,0.02502858377308719,0.009474129613408227
2015-11-01,08L,151076,50619,0.035747023250377284,0.011977273490897613
2015-11-01,05G,231889,68331,0.03973049147184553,0.011707429902939236
2015-11-01,00J,255318,160940,0.02816764979874734,0.01775551100435691
2015-11-01,05N,271889,73988,0.03673622646536724,0.009996873443646456
2015-11-01,02Y,337873,108852,0.035997373121759685,0.011597215696577665
2015-11-01,08P,74056,26396,0.01975720746161663,0.0070421201274283324
2015-11-01,04G,564510,200211,0.030363137770579442,0.010768691743610354
2015-11-01,99F,110347,45608,0.027054248000174565,0.011181909275213295
2015-11-01,05X,187261,49978,0.05207528322701516,0.013898347787952448
2015-11-01,12D,161834,70760,0.027532097586735107,0.012038083624191308
2015-11-01,02E,173821,64131,0.03688887370312968,0.01361009520975837
2015-11-01,05Y,340134,90364,0.0511558471560132,0.013590664186485257
2015-11-01,05F,147527,58305,0.031593692526064844,0.012486326182544286
2015-11-01,04Q,106816,51563,0.024630653191013464,0.011889888878896675
2015-11-01,07K,119016,75944,0.0163730281407638,0.010447614178952125
2015-11-01,08R,79243,32978,0.021517449545609076,0.008954765103732772
2015-11-01,07L,115408,45464,0.027873864291224494,0.010980671757037904
2015-11-01,06V,169397,46702,0.02728232618321872,0.007521616069993451
2015-11-01,11A,267665,105302,0.023713046840144483,0.009328941992269794
2015-11-01,15E,983979,325625,0.03847871768657258,0.012733638062082825
2015-11-01,02F,159324,87420,0.02532779289850808,0.013897188466192013
2015-11-01,02H,366468,141284,0.042741996809874,0.016478274439476946
2015-11-01,05T,243789,85318,0.03172869724654583,0.011103983328537372
2015-11-01,00C,91299,46168,0.02808879355618174,0.014203917029779063
2015-11-01,06Y,184083,58603,0.028830869953564073,0.009178335163424735
2015-11-01,01K,350096,132639,0.035215706968172625,0.013341986645238588
2015-11-01,10K,120482,61796,0.028352455077589083,0.014542158280695
2015-11-01,06K,394645,149370,0.02710679808507432,0.010259707914625932
2015-11-01,04Y,154031,53802,0.04452732054114667,0.015553095803797762
2015-11-01,14Y,211945,112695,0.02047530887096899,0.010887093034579019
2015-11-01,04N,71949,26649,0.02526161673083101,0.009356583472458485
2015-11-01,00X,138397,52349,0.03000611626364587,0.011349886054506944
2015-11-01,07Q,156612,56932,0.029302025351980916,0.010651948173441228
2015-11-01,99Q,259203,93700,0.03327046844970525,0.012027032456172891
2015-11-01,03J,177286,68859,0.034093900825260634,0.01324228600637739
2015-11-01,02T,165323,77056,0.02992287199335526,0.013946860535557562
2015-11-01,02N,119693,45209,0.030626973629836154,0.0115680520233536
2015-11-01,09D,131278,80561,0.022901129565533064,0.014053671589519258
2015-11-01,07V,182605,79573,0.025701113801725416,0.011199664459049297
2015-11-01,99M,90508,50438,0.022685363769638336,0.012642024769225024
2015-11-01,07M,132150,73328,0.020193787006661888,0.011205221442485832
2015-11-01,15D,241658,96003,0.03109418440267495,0.012352725691721371
2015-11-01,01D,239117,92039,0.04036078729503714,0.015535350902896587
2015-11-01,10Q,380111,166494,0.026254761343804268,0.01149995721032895
2015-11-01,08G,134164,60642,0.02345578604261497,0.01060199291312317
2015-11-01,11M,377757,191389,0.02319872528821157,0.011753536887961108
2015-11-01,00Y,255878,84081,0.03838061574760513,0.0126117937168275
2015-11-01,05A,255046,110774,0.023047386730551535,0.010010159805251271
2015-11-01,04R,360556,152362,0.03279905706213214,0.013860065931784737
2015-11-01,09Y,149869,49390,0.02632696278768683,0.008676168467687465
2015-11-01,03A,190657,83332,0.031795758152981926,0.013897229676352246
2015-11-01,15F,636417,239387,0.03138826942607757,0.011806635669852362
2015-11-01,04J,276884,95819,0.031902345758684274,0.011040186028269484
2015-11-01,06T,303018,115101,0.028639048355436545,0.010878505913045105
2015-11-01,02W,101314,33266,0.03561139800941164,0.011692843695650034
2015-11-01,10X,118003,48168,0.02579276867840776,0.01052842793574354
2015-11-01,01W,231502,96064,0.027083878808469377,0.011238718170282772
2015-11-01,08A,166618,69620,0.03263944460170369,0.013638131133314593
2015-11-01,07X,145662,56677,0.02203008882241672,0.008571894826297267
2015-11-01,09W,234454,76224,0.03664599447904571,0.011914082434809303
2015-11-01,08M,201000,52764,0.025313245111426765,0.00664491574656379
2015-11-01,00L,322745,164293,0.029013543129446095,0.014769313363076384
2015-11-01,09A,70733,36780,0.02333439009367999,0.012133500171709811
2015-11-01,02Q,129093,45813,0.03890363550229095,0.01380626566325405
2015-11-01,08F,166000,55574,0.02763161136238492,0.009250597408754094
2015-11-01,01E,161047,49702,0.03202772592744914,0.009884332114513632
2015-11-01,04E,231283,94038,0.03644500079813012,0.014818274516737333
2015-11-01,07G,80080,30589,0.021109620561951384,0.008063463828290846
2015-11-01,06L,207641,85096,0.02040513089675126,0.008362486304679449
2015-11-01,07Y,113596,44667,0.02127155576386768,0.008364172869684475
2015-11-01,15A,173439,99946,0.01857040267190918,0.010701384725734321
2015-11-01,02P,392918,161320,0.041126128129914515,0.016885118497798036
2015-11-01,00D,392006,191256,0.0323489714009762,0.01578275555543819
2015-11-01,06F,176562,112923,0.01741382910240401,0.011137287886016062
2015-11-01,06A,282805,80218,0.04213759589001805,0.011952382974507056
2015-11-01,08Q,137271,41904,0.026707142469416974,0.008152749656070466
2015-11-01,03L,313662,100996,0.03895631135787948,0.012543539293572051
2015-11-01,15C,612139,335659,0.027516751401563486,0.015088477059454467
2015-11-01,99K,96295,37575,0.023629358560885074,0.009220345271564014
2015-11-01,04H,120977,44098,0.033430586014183895,0.012185969085474771
2015-11-01,09C,50839,30793,0.018178307531953007,0.011010535687787506
2015-11-01,03Y,127507,49409,0.035506311701012615,0.013758706226601929
2015-11-01,06P,116815,46346,0.03068482197339537,0.012174110852022272
2015-11-01,07R,85242,45885,0.02797403372229367,0.015058170119746665
2015-11-01,12F,253650,106187,0.02798098418271864,0.01171384493361066
2015-11-01,04L,102342,43241,0.029410606750743227,0.012426413852659591
2015-11-01,00M,369202,171283,0.03742839147087409,0.01736406405248543
2015-11-01,13T,518551,293704,0.030233220085057477,0.01712390424830291
2015-11-01,05R,149129,62439,0.0228715532746048,0.009576118091806751
2015-11-01,01T,197180,52143,0.041724152524440304,0.0110336874180033
2015-11-01,09L,94731,33851,0.03011614606415088,0.010761647828245995
2015-11-01,08Y,90588,37419,0.027815272300302264,0.011489597675244077
2015-11-01,00R,293440,102052,0.047072253117309594,0.01637069784326499
2015-11-01,08D,104910,40721,0.021267158568955988,0.008254884797316337
2015-11-01,00V,160981,65986,0.03414136319860466,0.013994521042999654
2015-11-01,07W,149416,44496,0.021298068041608605,0.006342552575222309
2015-11-01,05C,329552,93652,0.0454614115589507,0.012919211885586647
2015-11-01,09J,176142,69809,0.029771307438077432,0.011799032604062332
2015-11-01,07T,141501,42871,0.036160188246309705,0.010955565192525447
2015-12-01,10E,91706,70954,0.020937505065654304,0.01619959145997465
2015-12-01,09H,93457,33887,0.03218815901998272,0.011671251428038074
2015-12-01,07M,132690,76579,0.019499339147425233,0.011253597803682847
2015-12-01,07G,82899,30963,0.020560721702438372,0.007679484988631941
